APLICACION,DESCRIPCION,ARQUITECTURA,TIPO_APLICACION,CRITICIDAD_RO,ACOPLAMIENTO_CORE,PROVEEDOR,DOMINIO,GRUPO,FRAMEWORK_APLICACION,MOTOR_BASE,SO,OBSOLESENCIA_IDE,OBSOLESCENCIA_BDD,OBSOLESCENCIA_SO,TRANSACCIONALIDAD,TIPO_AUTENTICACION,TPS,REQUIERE_REFACTORIZACION,CRITICIDAD_BASE,TAMAÑO_BASE,OBSOLESCENCIA,EOL_NEXT,REQUIERE DESACOPLAMIENTO,ENUMERAR_COMPONENTES_OBSOLETOS,COMPONENTES_OBSOLETOS,ENUMERAR_COMPONENTES_ECOSISTEMA,MODERNIZA,DECOMIZAR,CONTENERIZAR,NUEVA,TOTAL_VULNERABILIDAES,VULNERABILIDADES_CRITICAS,VULNERABILIDADES_ALTAS,VULNERABILIDADES_MEDIAS,OBSERVACION,CAMBIOS_PROPUESTOS,MANEJA_HISTORICOS,DETALLE_MANEJO_HISTORICOS,NUMERO_USUARIOS_APLICACION,PROMEDIO_TRANSACCIONAL,INFORMACION_SENSIBLE,EXPONE_DMZ,IMPACTO_NEGOCIO,SERVIDORES_APLICACION,SERVIDORES_BDD,BDD,TIENE_INICIATIVA,INICIATIVA,PROGRAMA,AÑO,ACTUALMENTE_NUBE,CANDIDATA_IAAS,CANDIAATA_SAAS,JOURNEY_TO_CLOUD,PRIORIZACION,COMPLEJIDAD,JUSTIFICACION_TECNICA,PONDERACION,EVALUACION MAR / ESCALA,ESTRATEGIA,TIEMPO,COMPLEJIDAD,COSTO-ESTIMADO
BACK OFFICE BANCA DIGITAL,"SISTEMA WEB PARA MENTENIMIENTO DE BANCA DIGITAL ",MULTIPLATAFORMA,APLICACION WEB,NO,30,BGR,Plataforma Tecnológica,Plataforma Tecnológica,PUNTO NET 2022 NET CORE 8.0,NO APLICA BASE DE DATOS,MICROSOFT WINDOWS SERVER 2016 STANDARD EDITION,NO,NO,NO,BAJA,AZURE ENTRA ID,115,SI,BAJA,563.2,NO,SI,NO,0,,28,NO,NO,SI,NO,NULL,NULL,NULL,NULL,MIGRAR A NUBE Y POSTGRES,MIGRACION BDD A POSTGRES,SI,"1-Bases:BGR_LOGS_HISTORICA CRITICIDAD:MEDIA,TAMAÑO:382207.875",-1,2279990,N/A,DMZ,SI,172.20.115.13-ECBRPRWE27;172.20.115.17-ECBRPRWE31;,172.20.1.128-ECBRPRCL19 Q60;172.20.1.214-ECBRPRCL12 Q43;172.20.1.215-ECBRPRCL13 Q47;172.20.1.46-ECBRPRLSQ63;,BACKOFFICE_SISTEMAS_BGR;BANCADIGITALHIS;BGR_LOGS;BGRBACKOFFICE;CATALOGOSERVICIOSBGR;PORTAL_ADMINISTRATIVO_BGR;,SI,MIGRACION BDD A POSTGRES,EFICIENCIA,2026,NO,NA,SI,SI,1,1,"Recomendado a nube Backoffice de la Banca digital, parametrizacion para componentes de Banca.. Migración BDD a Postgress, BGRBACKOFFICE,PORTAL_ADMINISTRATIVO_BGR",58.00,,,,,
BACKOFFICE SISTEMAS BGR,Aplicativo para manejo de parámetros y configuraciones del nuevo notificador BGR con INFOBIP,MULTIPLATAFORMA,APLICACION WEB,SI,30,BGR,Plataforma Tecnológica,Plataforma Tecnológica,PUNTO NET 2022 NET CORE 8.0,MICROSOFT SQL SERVER 2016 ENTERPRISE EDITION,MICROSOFT WINDOWS SERVER 2019 STANDARD EDITION,NO,NO,NO,BAJA,AZURE ENTRA ID,8,SI,BAJA,32.09,NO,SI,NO,0,,16,NO,NO,SI,NO,NULL,NULL,NULL,NULL,MIGRAR A NUBE Y POSTGRES,MIGRAR A NUBE Y POSTGRES,SI,"4-Bases:CANJE_HIST CRITICIDAD:MEDIA,TAMAÑO:7724.43699999999CANJE_HIST CRITICIDAD:MEDIA,TAMAÑO:8209.88199999999CANJE_HIST CRITICIDAD:MEDIA,TAMAÑO:7724.43699999999CANJE_HIST CRITICIDAD:MEDIA,TAMAÑO:8209.88199999999",-1,158608,N/A,LAN,SI,172.20.1.76-ECBRPRW83;,172.20.1.128-ECBRPRCL19 Q60;172.20.1.215-ECBRPRCL13 Q47;172.20.1.96-ECBRPRQ45;,BACKOFFICE_SISTEMAS_BGR;CANJE;PORTAL_ADMINISTRATIVO_BGR;,SI,MIGRACION BDD A POSTGRES,EFICIENCIA,2026,NO,NA,SI,SI,1,1,"Recomendado a nube BackOffice; MAP AWS; Permite la parametrización de aplicaciones de Banco, tablas de catalogo servicios, switch cobros pagos. Iniciativa: Migracion BDD a Postgress, CANJE, PORTAL_ADMINISTRATIVO_BGR",55.00,,,,,
SARAS,Es una serie de formularios web que permiten ingresar información para evaluar el nivel de riesgo de un cliente de crédito empresarial,MULTIPLATAFORMA,APLICACION WEB,NO,30,BGR,Gestión Empresarial,"Gestión de Riesgo, Cumplimiento AML y Fraude",PUNTO NET 2022 NET CORE 8.0,MICROSOFT SQL SERVER 2019 ENTERPRISE EDITION,MICROSOFT WINDOWS SERVER 2019 STANDARD EDITION,NO,NO,NO,BAJA,AZURE ENTRA ID,18,SI,MEDIA,0.27,NO,NO,NO,0,,6,NO,NO,SI,NO,NULL,NULL,NULL,NULL,JOURNEY TO CLOUD,MIGRACION BDD A POSTGRES,NO,N/A,-1,1402,N/A,LAN,NO,172.20.1.76-ECBRPRW83;,172.20.1.128-ECBRPRCL19 Q60;,SARAS;,SI,NA - BAU -SIN- INICIATIVA,BAU,2026,NO,NA,SI,SI,1,1,"Recomendado a nube; MAP AWS; Migración a BDD Postgress, SARAS",54.00,,,,,
VISOR HISTÓRICO DE CHEQUES,Visor para poder hacer consulta de cheques tomando la información del repositorio histórico,MULTIPLATAFORMA,APLICACION WEB,NO,0,BGR,Gestión y Archivo de Documentos,Document Library,PUNTO NET 2022 NET CORE 8.0,NO APLICA BASE DE DATOS,MICROSOFT WINDOWS SERVER 2019 STANDARD EDITION,NO,NO,NO,BAJA,ACTIVE DIRECTORY,0,NO,BAJA,32.09,NO,NO,NO,0,,16,NO,NO,SI,NO,NULL,NULL,NULL,NULL,"OPCION PARA CONSULTAR HISTORICOS DE CHEQUES DE CANJE, ES PARTE DE BACKOFFICE SISTEMAS BGR",N/A,SI,"4-Bases:CANJE_HIST CRITICIDAD:MEDIA,TAMAÑO:7724.43699999999CANJE_HIST CRITICIDAD:MEDIA,TAMAÑO:8209.88199999999CANJE_HIST CRITICIDAD:MEDIA,TAMAÑO:7724.43699999999CANJE_HIST CRITICIDAD:MEDIA,TAMAÑO:8209.88199999999",2,NULL,N/A,LAN,NO,172.20.1.76-ECBRPRW83;,172.20.1.128-ECBRPRCL19 Q60;172.20.1.215-ECBRPRCL13 Q47;172.20.1.96-ECBRPRQ45;,BACKOFFICE_SISTEMAS_BGR;CANJE;PORTAL_ADMINISTRATIVO_BGR;,NO,NA - BAU -SIN- INICIATIVA,BAU,2026,NO,NO,SI,SI,5,1,"Componente Acoplado en BackOffice Sistemas, Recomendado a nube.",52.00,,,,,
CALCULADORA INMOBILIARIA,Aplicación para calcular créditos hipotecarios,MULTIPLATAFORMA,APLICACION,NO,0,GMEDIA,Gestión de Información y Procesos,Administración Banco,PUNTO NET 2022 NET CORE 8.0,MICROSOFT SQL SERVER 2016 ENTERPRISE EDITION,MICROSOFT WINDOWS SERVER 2019 STANDARD EDITION,NO,NO,NO,BAJA,PROPIO PROVEEDOR,0,SI,N/A,NULL,NO,SI,NO,0,,3,NO,NO,SI,NO,NULL,NULL,NULL,NULL,"Se comunica con MSAPI, para acceder a Datos.",Lift-shift,NO,N/A,-1,NULL,N/A,DMZ,SI,172.20.115.10-ECBRPRKC01;172.20.115.11-ECBRPRKC02;172.20.1.140- ECBRPRKW01,,,SI,NA - BAU -SIN- INICIATIVA,BAU,2026,NO,NA,SI,SI,1,1,Recomendado a nube; Multiplataforma.,52.00,,,,,
ADMINISTRADOR DE PAGOS,"Para calendarizar los pagos a los clientes ",WINDOWS,APLICACION WEB,NO,30,BGR,Operaciones de Productos,Pagos,PUNTO NET 2017 - FRAMEWORK 4.7.1,MICROSOFT SQL SERVER 2022 ENTERPRISE EDITION,MICROSOFT WINDOWS SERVER 2016 STANDARD EDITION,NO,NO,NO,BAJA,SEGUNIXORANSERVICE,16,SI,MEDIA,312.34,NO,NO,NO,8,BGR186Q05;DRBGR186Q05;SUIO186A06;TEST186Q02;,27,SI,NO,SI,NO,10,3,1,6,MIGRAR LA APLICACIÓN A NET CORE,MIGRACION BDD A POSTGRES,SI,"6-Bases:BGR_CELULAR_HISTORICO CRITICIDAD:MEDIA,TAMAÑO:210177.25PRUMINAHUI_HISTORICO CRITICIDAD:MEDIA,TAMAÑO:12909.875PRUMINAHUI_HISTORICO CRITICIDAD:MEDIA,TAMAÑO:41069.875BGRNET_HISTORICO CRITICIDAD:MEDIA,TAMAÑO:1337PRUMINAHUI_HISTORICO CRITICIDAD:MEDIA,TAMAÑO:12909.875PRUMINAHUI_HISTORICO CRITICIDAD:MEDIA,TAMAÑO:41069.875",-1,317216,N/A,LAN,SI,172.20.1.111-ECBRPRW44;172.20.1.112-ECBRPRW45;172.20.1.64-BGR186Q05;,172.20.1.2-ECBRPRQ71;172.20.1.213-ECBRPRCL11 Q39;172.20.1.64-BGR186Q05;,BGR_CELULAR;BGRNET;PRUMINAHUI;SISTEMA_MENU_CENTRALIZADO;,SI,MIGRACION BDD A POSTGRES,EFICIENCIA,2026,NO,NA,SI,SI,1,1,"Recomendado a Nube, Requiere Refactorizacion de código, Migrar a Postgress, BDD_BGR_CELULAR, BGR_Rumiñagui, Desacoplar a MSAPI - Front Moderno(Angular)",50.00,,,,,
ADMINISTRACION DE COBRANZAS SAC,Administra la Gestión de Cobranzas,WINDOWS,APLICACION WEB Y WINDOWS,SI,0,EFFECTIVE COMPUTER SOLUTIONS ECS LTDA,Gestión de Personas,Gestión de mora,PUNTO NET FRAMEWORK 4.5,MICROSOFT SQL SERVER 2016 ENTERPRISE EDITION,MICROSOFT WINDOWS SERVER 2016 STANDARD EDITION,SI,NO,NO,BAJA,PROPIO PROVEEDOR,16,N/A,N/A,NULL,SI,SI,NO,2,ECBRPRW35;ECBRTSW22;,4,SI,SI,NO,SI,852,19,584,249,NULL,REEMPLAZAR POR UN SISTEMA AUTOMATIZADO DE IA,NO,N/A,-1,317216,N/A,LAN,SI,172.20.1.101-ECBRPRW35;,,,SI,NA - BAU -SIN- INICIATIVA,BAU,2026,NO,NA,SI,SI,5,1,Solicitar a proveedor aplicación SAAS.,50.00,,,,,
LIBRARIAN,Herramienta de control de versiones y seguimiento de despliegues en test y producción,WINDOWS,APLICACION WEB,NO,0,BGR,Plataforma Tecnológica,Plataforma Tecnológica,PUNTO NET 2003 - FRAMEWORK 1.1,NO APLICA BASE DE DATOS,MICROSOFT WINDOWS SERVER 2003 STANDARD EDITION,SI,NO,SI,BAJA,ACTIVE DIRECTORY,3,SI,MEDIA,1.22,SI,NO,NO,2,ECBRPRW29;ECBRPRW31;,7,SI,SI,SI,SI,4,2,0,2,NUEVA APLICACIÓN,NUEVA APLICACIÓN,NO,N/A,60,59478,N/A,LAN,NO,172.20.1.49-ECBRPRW29;,172.20.1.126-ECBRPRCL15 Q57;172.20.1.75-ECBRPRQ74;,BSDTBGR;,SI,SOSTENIBILIDAD TECNOLOGICA,OBSOLESCENCIA,2026,NO,NA,SI,SI,1,1,"Recomendado a Nube, Requiere Refactorizacion de código, Migrar a Postgress,BSDTBGR, Desacoplar a MSAPI - Front Moderno(Angular)",45.00,,,,,
CUADRE Y COMPENSACIÓN ATMS,"El sistema de Cuadre y compensación de Cajeros Automáticos fue diseñado para brindar una solución al proceso de Cuadre de los archivos emitidos por los Cajeros Automáticos, por el Host   y por la red Banred y Mastercard.",WINDOWS,APLICACION WEB,NO,50,BGR,Canales,Otros Puntos de Servicio,PUNTO NET 2017 - FRAMEWORK 4.7.1,MICROSOFT SQL SERVER 2016 ENTERPRISE EDITION,MICROSOFT WINDOWS SERVER 2016 STANDARD EDITION,NO,NO,NO,BAJA,SEGUNIXORANSERVICE,2,SI,MEDIA,99.43,NO,SI,SI,1,ECBRPRW30;,13,SI,NO,SI,NO,NULL,NULL,NULL,NULL,CAMBIAR DE BDD,MIGRACION BDD A POSTGRES,SI,"1-Bases:ATM_HIS CRITICIDAD:ALTA,TAMAÑO:101447.937000000",2,39652,N/A,LAN,SI,172.20.1.114-ECBRPRW47;172.20.1.115-ECBRPRW48;,172.20.1.213-ECBRPRCL11 Q39;172.20.1.214-ECBRPRCL12 Q43;,ATM;SISTEMA_MENU_CENTRALIZADO;,SI,CAMARA DE COMPENSACION,MODERNIZACION,2028,NO,NA,SI,SI,1,1,"Recomendado a Nube, Requiere desacoplamiento, se encuentra en iniciativa 2028 - Camara Compensación.",45.00,,,,,
PORTALGUIABGR,Es la guía telefónica del banco,WINDOWS,APLICACION WEB,NO,0,BGR,Gestión de Personas,Gestión RRHH,PUNTO NET 2017 - FRAMEWORK 4.7.1,MICROSOFT SQL SERVER 2016 ENTERPRISE EDITION,MICROSOFT WINDOWS SERVER 2016 STANDARD EDITION,NO,NO,NO,BAJA,ACTIVE DIRECTORY,0,SI,BAJA,0.14,NO,SI,NO,0,,8,SI,NO,SI,NO,NULL,NULL,NULL,NULL,APLICACION LEGADA EN .NET FRAMEWORK 4.7,MIGRAR A ANGULAR FRONT/POSTGRESS,NO,N/A,2,NULL,N/A,LAN,SI,172.20.1.111-ECBRPRW44;172.20.1.112-ECBRPRW45;,172.20.1.215-ECBRPRCL13 Q47;,PORTAL_ADMINISTRATIVO_BGR;,SI,NA - BAU -SIN- INICIATIVA,BAU,2026,NO,NA,SI,SI,1,1,"Recomendado a Nube, Requiere Refactorizacion de código,MAP AWS; Migrar a Postgress, PORTAL_ADMINISTRATIVO, Desacoplar a MSAPI - Front Moderno(Angular)",43.00,,,,,
PORTALADMINISTRATIVOBGR,Permite realizar tareas de desbloqueo y des logueo de usuarios de siglo 21,WINDOWS,APLICACION WEB,NO,0,BGR,Gestión de Personas,Gestión RRHH,PUNTO NET 2017 - FRAMEWORK 4.7.1,MICROSOFT SQL SERVER 2016 STANDARD EDITION,MICROSOFT WINDOWS SERVER 2016 STANDARD EDITION,NO,NO,NO,BAJA,ACTIVE DIRECTORY,0,SI,BAJA,0.14,NO,SI,NO,0,,8,SI,NO,SI,NO,NULL,NULL,NULL,NULL,APLICACION LEGADA EN .NET FRAMEWORK 4.7,MIGRAR A ANGULAR FRONT/POSTGRESS,NO,N/A,2,NULL,N/A,LAN,SI,172.20.1.111-ECBRPRW44;172.20.1.112-ECBRPRW45;,172.20.1.215-ECBRPRCL13 Q47;,PORTAL_ADMINISTRATIVO_BGR;,SI,NA - BAU -SIN- INICIATIVA,BAU,2026,NO,NA,SI,SI,1,1,"Recomendado a Nube, Requiere Refactorizacion de código,, Map AWS;Migrar a Postgress, PORTAL_ADMINISTRATIVO, Desacoplar a MSAPI - Front Moderno(Angular)",43.00,,,,,
BGRTUCUENTA,Portal donde se hacen cargas masivas para creación de cuentas,WINDOWS,APLICACION WEB,NO,75,BGR,Canales,Otros Puntos de Servicio,PUNTO NET 2017 - FRAMEWORK 4.7.1,MICROSOFT SQL SERVER 2016 ENTERPRISE EDITION,MICROSOFT WINDOWS SERVER 2016 STANDARD EDITION,NO,NO,NO,BAJA,SEGUNIXORANSERVICE,0,si,BAJA,2.78,NO,SI,NO,0,,12,NO,NO,SI,NO,NULL,NULL,NULL,NULL,INTEGRARSE NUEVA APLICACIÓN - DIAGRAMAS ARQ,NUEVO MODELO DE GENERACION DE REPORTES Y PLANTILLAS,NO,N/A,1,NULL,N/A,LAN,SI,172.20.115.13-ECBRPRWE27;172.20.115.17-ECBRPRWE31;,172.20.1.214-ECBRPRCL12 Q43;,BDD_BGR_PRODUCTOS;CATALOGOSERVICIOSBGR;,SI,GENERADOR DE PLANTILLAS-CONTRATOS,MODERNIZACION,2027,NO,NA,SI,SI,3,1,"Recomenddo a Nube, Requiere Refactorizacion de código, Migrar a postgress, BDD_BGR_PRODUCTOS-CATALOGOSERVICIOSBGR;Desacoplar a MSAPI - Front Moderno(Angular); Iniciativa - Generador de plantillas y contratos - Modernizacion - 2027",43.00,,,,,
BANCAOFICIALCOM,Permite gestionar depósitos del sector público en cuentas del banco.,WINDOWS,APLICACION WEB,NO,30,BGR,Canales,Otros Puntos de Servicio,PUNTO NET 2017 - FRAMEWORK 4.7.1,ORACLE 19C,MICROSOFT WINDOWS SERVER 2003 STANDARD EDITION,NO,NO,SI,BAJA,SEGUNIXORANSERVICE,0,SI,MEDIA,6175.09,SI,NO,NO,8,ECBRHCF7;ECBRHCP2;ECBRPRW01;ECBRPRW02;ECBRPRW30;ECBRTSW01;ECBRTSW02;,14,NO,SI,NO,SI,21,5,4,12,NUEVO SISTEMA DE ESTRUCTURAS DE NUBE,MIGRAR POR UN NUEVO SISTEMA DE ESTRUCTURAS DE NUBE,NO,N/A,-1,NULL,N/A,LAN,NO,172.20.1.111-ECBRPRW44;172.20.1.78-ECBRPRW01;172.20.1.79-ECBRPRW02;172.20.42.27-ECBRHCP2;,172.20.42.27-ECBRHCP2;172.20.46.12-ECBRHCF7;,M2D;,SI,ESTRUCTURAS DE CONTROL Y REGULATORIOS,MODERNIZACION,2026,NO,NO,NO,SI,5,1,"Se recomienda programa Journey To Cloud, ya tiene Iniciativa Estructuras Control -2026",42.00,,,,,
