Ítem,Detalle,Cantidad,Fecha Fin,Total
1,SQL Server Ent Core 2 SftSA,18,1-ago-26,"$179,388.00"
2,VisStudio PMSDN User SftSA,7,31-ene-27,"$9,630.60"
3,SysCntrSvr Std Core 16 SftSA,2,31-ene-27,"$1,184.70"
4,Win Server Std Core 16 SftSA,2,31-ene-27,"$1,435.26"
5,CoreInfSvr Datcr Core 2 SftSA,22,31-ene-27,"$13,605.24"
6,CoreInfSvr Std Core 16 SftSA,2,31-ene-27,"$2,488.98"
7,Exchng Svr Std Svr SftSA,4,31-ene-27,"$2,092.92"
8,CoreInfSvr Datcr Core 16 SftSA,14,31-ene-27,"$69,269.34"
9,SQL Server Std Core 2 SftSA,8,31-ene-27,"$21,183.84"
10,VisStudio PMSDN User SftSA,30,31-ene-28,"$41,274.00"
11,CoreInfSvr Datcr Core 16 SftSA,2,31-ene-28,"$10,886.94"
12,CoreInfSvr Datcr Core 2 SftSA,8,31-ene-28,"$5,442.72"
13,SQL Server Std Core 2 SftSA,2,31-ene-28,"$5,295.96"
14,MS Endpnt CfCML User MLSA,86,31-ene-28,"$10,320.00"
15,Windows 10/11 Enterprise E3,85,31-ene-26,"$19,380.00"
16,M365 E5,787,31-ene-26,"$471,019.50"
17,Office F3,75,31-ene-26,"$6,178.50"
18,Project plan 3,21,31-ene-26,"$5,683.23"
19,Project plan 5,2,31-ene-26,$992.30
20,visio plan 1,4,31-ene-26,$180.40
21,Visio plan 2,15,31-ene-26,"$2,029.65"
22,Copilot 365,25,31-ene-26,"$9,650.00"
23,Copilot Studio,1,31-ene-26,"$2,600.00"
24,Office E1,11,31-ene-26,"$1,472.46"
25,Teams Room,1,31-ene-26,"$1,385.73"
26,Copilot 365,1,23-abr-26,$340.20
27,Teams Enterpreise,8,18-Feb-26,$689.47
28,Power Automate Process,2,8-abr-26,"$3,024.00"
29,Power Apps Premium,1,26-Mar-26,$189.00
30,power automate Premium,1,26-Mar-26,$141.75
31,Power Pages T1 500users,1,16-ene-26,$756.00
TOTAL,,,,"$899,210.69"