Name,Message,Message type,VI SDK Server,VI SDK UUID
[DataStore_Aplicacion_1_UIO] ecbrprap15/ecbrprap15.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_1_UIO] ecbrprlx02/ecbrprlx02.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_1_UIO] ecbrprlx02/ecbrprlx02.vmx,Possibly a Zombie VM! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_1_UIO] ecbrprsp01-2020-13-09-22h38m28s/ecbrprsp01.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_1_UIO] ecbrprsp01-2020-13-09-22h38m28s/ecbrprsp01.vmx,Possibly a Zombie VM! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_1_UIO] ecbrprsp01-2020-13-09-22h38m28s/ecbrprsp01_1.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_1_UIO] ecbrprsp01-2020-13-09-22h38m28s/ecbrprsp01_2.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_1_UIO] ecbrprw75/ecbrprw75_4.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_1_UIO] ecbrprw75/ecbrprw75_6.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_1_UIO] zabbixproxy/zabbixproxy.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_1_UIO] zabbixproxy/zabbixproxy.vmx,Possibly a Zombie VM! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_1_UIO] zabbixproxy_1/zabbixproxy.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_1_UIO] zabbixproxy_1/zabbixproxy.vmx,Possibly a Zombie VM! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_2_UIO] ecbrprsp01/ecbrprsp01.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_2_UIO] ECBRPRVM01/ECBRPRVM01_1.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_2_UIO] ecbrprw71/ecbrprw71_7.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_2_UIO] ecbrprw71/ecbrprw71_9.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_2_UIO] ECBRTSLX08_POC/ECBRTSLX08_POC.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_2_UIO] ECBRTSLX08_POC/ECBRTSLX08_POC.vmx,Possibly a Zombie VM! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_2_UIO] ISO/Lumu2/Lumus2-disk1.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_2_UIO] UNIX/OVA_HPE_SSMC_3.8.0.0/HPE_SSMC_Appliance-3.8.0.0.330-disk1.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_BDD_Ent_UIO] ecbrprcl12_BORRAR/ecbrprcl12_2.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_BDD_Ent_UIO] ecbrprcl1-2024-23-02-16h40m46s/ecbrprcl1.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_BDD_Ent_UIO] ecbrprq69/ecbrprq69_11.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_BDD_Ent_UIO] poc_BGR186B01/poc_BGR186B01-000001.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_BDD_Std_UIO] ecbrprlx07/ecbrprlx07.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_BDD_Std_UIO] ECBRPRQ71/ECBRPRQ71_8.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_BDD_Std_UIO] ecbrprq72_1/ecbrprq72_1.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_2.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_2.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_3.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_3.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_4.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_4-rdm.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_5.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_5-rdm.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_6.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_6-rdm.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_9.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_9.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_1] ecbrtsw115/ecbrtsw115_10.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_1] ecbrtsw115/ecbrtsw115_12.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_1] ecbrtsw115/ecbrtsw115_8.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_2] VM_Pruebas/VM_Pruebas.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_2] VM_Pruebas/VM_Pruebas.vmx,Possibly a Zombie VM! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_2] VM_Pruebas/VM_Pruebas_1.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_3] ecbrtscl03/ecbrtscl03.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_3] ecbrtsti01/ecbrtsti01_1.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_3] ecbrtsti01/ecbrtsti01_1.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_4] ecbrtscl03/ecbrtscl03.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_4] ecbrtscl03/ecbrtscl03_2.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_4] ecbrtscl03_1/ecbrtscl03_1.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_4] ecbrtscl03_1/ecbrtscl03_2.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_4] ecbrtscl03_1/ecbrtscl03_3.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_4] ecbrtscl04/ecbrtscl04.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_4] ecbrtscl04/ecbrtscl04_1.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_4] ecbrtscl04/ecbrtscl04_2.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_4] ecbrtscl04/ecbrtscl04_3.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_4] ecbrtsq11_old/ecbrtsq11_1.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_4] ECBRTSQ27/ECBRTSQ27_1.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_4] ECBRTSQ27/ECBRTSQ27_2.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_4] ecbrtss01/ecbrtss01_1-000001.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_4] ecbrtss01/ecbrtss01-000001.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_4] ecbrtsw115/ecbrtsw115_10.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_4] ecbrtsw115/ecbrtsw115_12.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_4] ecbrtsw115/ecbrtsw115_8.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_4] test186w04_tshoot/test186w04_tshoot_3.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_4] test186w04_tshoot/test186w04_tshoot_5.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[Local_Test_ecbrtssx04] BGR186A05/ECBRPRPOC01_3.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[Local_Test_ecbrtssx04] BGR186A05/ECBRPRPOC01_3.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[Local_Test_ecbrtssx04] BGR186A05/ECBRPRPOC01_4.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[Local_Test_ecbrtssx04] BGR186A05/ECBRPRPOC01_4.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
bgr186a05clon,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
bgr186d01,"VM has an active snapshot! VM Snapshot 20/6/2025, 12:09:48 p. m. created on 2025/06/20 12:10:05",Snapshot,172.20.1.174,172.20.1.174
bgr186d01,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
bgr186d03,Inconsistent Foldername! VMname = bgr186d03 Foldername = poc_bgr186d03,Foldername,172.20.1.174,172.20.1.174
bgr186d03,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
bgr186h01,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
bgr186h02,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
bgr186pr1,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
bgr186q01,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
bgr186q02,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
bgr186q05,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
bgr186qv1,VM has an active snapshot! RFC 1272 - Remediación de vulnerabilidades created on 2025/06/24 20:00:09,Snapshot,172.20.1.174,172.20.1.174
bgr186qv1,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
bgr186qv1,Inconsistent Foldername! VMname = bgr186qv1 Foldername = bgr186qv1_1,Foldername,172.20.1.174,172.20.1.174
bgr186vm1,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
componentbgr3,Inconsistent Foldername! VMname = componentbgr3 Foldername = drcomponentbgr3,Foldername,172.20.1.174,172.20.1.174
componentbgr3,VM has an active snapshot! Soporte RFC 2025-000990 created on 2025/06/21 17:41:08,Snapshot,172.20.1.174,172.20.1.174
DataStore_Aplicacion_1_UIO,There are 109 VMs active on this datastore. The threshold value is 16,Storage,172.20.1.174,172.20.1.174
DataStore_Aplicacion_2_UIO,There are 82 VMs active on this datastore. The threshold value is 16,Storage,172.20.1.174,172.20.1.174
DataStore_BDD_Ent_UIO,There are 31 VMs active on this datastore. The threshold value is 16,Storage,172.20.1.174,172.20.1.174
DiskLun_Servidores_Test_Nimble_1,There are 40 VMs active on this datastore. The threshold value is 16,Storage,172.20.1.174,172.20.1.174
DiskLun_Servidores_Test_Nimble_2,"On DiskLun_Servidores_Test_Nimble_2 is 5% disk space available! The threshold value is 10%. Free MB = 378,912",Storage,172.20.1.174,172.20.1.174
DiskLun_Servidores_Test_Nimble_3,There are 23 VMs active on this datastore. The threshold value is 16,Storage,172.20.1.174,172.20.1.174
DiskLun_Servidores_Test_Nimble_4,There are 39 VMs active on this datastore. The threshold value is 16,Storage,172.20.1.174,172.20.1.174
DiskLun_Servidores_Test_Nimble_4,"On DiskLun_Servidores_Test_Nimble_4 is 5% disk space available! The threshold value is 10%. Free MB = 467,337",Storage,172.20.1.174,172.20.1.174
ecbgr012002,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrdsq04,"On E:\ is 6% disk space available! The threshold value is 10%. Free MB = 126,101",Storage,172.20.1.174,172.20.1.174
ecbrdsq04,"On G:\ is 8% disk space available! The threshold value is 10%. Free MB = 164,843",Storage,172.20.1.174,172.20.1.174
ecbrdsq04,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrlx01,Inconsistent Foldername! VMname = ecbrlx01 Foldername = ecbrprlx01,Foldername,172.20.1.174,172.20.1.174
ecbrpra03,Inconsistent Foldername! VMname = ecbrpra03 Foldername = ecbrprtemp1,Foldername,172.20.1.174,172.20.1.174
ecbrpra03,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprap1,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprap1,Inconsistent Foldername! VMname = ecbrprap1 Foldername = ECBRPRAP1 _W2016,Foldername,172.20.1.174,172.20.1.174
ecbrprap10,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprap10,Inconsistent Foldername! VMname = ecbrprap10 Foldername = ecbrprap10_1,Foldername,172.20.1.174,172.20.1.174
ecbrprap12,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprap12,Inconsistent Foldername! VMname = ecbrprap12 Foldername = ecbrprap12_1,Foldername,172.20.1.174,172.20.1.174
ecbrprap13,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprap13,Inconsistent Foldername! VMname = ecbrprap13 Foldername = ecbrprap13_1,Foldername,172.20.1.174,172.20.1.174
ecbrprap14,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprap15,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprap16,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprap16,VM has an active snapshot! RFC 2025-001384 - Remediación de Vulnerabilidades created on 2025/07/07 16:41:09,Snapshot,172.20.1.174,172.20.1.174
ecbrprap16,Inconsistent Foldername! VMname = ecbrprap16 Foldername = ecbrprap16_1,Foldername,172.20.1.174,172.20.1.174
ecbrprap17,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprap17,VM has an active snapshot! RFC 2025-001384 - Remediación de Vulnerabilidades created on 2025/07/07 16:42:15,Snapshot,172.20.1.174,172.20.1.174
ecbrprap17,Inconsistent Foldername! VMname = ecbrprap17 Foldername = ecbrprap17_1,Foldername,172.20.1.174,172.20.1.174
ecbrprap2,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprap2,Inconsistent Foldername! VMname = ecbrprap2 Foldername = ecbrprap2_new,Foldername,172.20.1.174,172.20.1.174
ecbrprap21,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprap23,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprap3,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprap5,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprap6,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprap7,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprarb01,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprbi01,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
