VM,Powerstate,Template,SRM Placeholder,Device Node,Connected,Starts Connected,Device Type,Annotation,NB_LAST_BACKUP,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VMRef,VM ID,VM UUID,VMs,VI SDK Server,VI SDK UUID
bgr186a05clon,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,"Servidor migrado de físico a virtual, no encender sin previa confirmación de DLL.",,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),23,vm-35602,422e247c-a602-2763-dcc0-24efbc475354,,172.20.1.174,172.20.1.174
bgr186pr1,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device /usr/lib/vmware/isoimages/windows.iso,,"Tue Jul  8 20:00:13 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP/Discovered virtual machine,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),359,vm-3217,423e8011-95b9-9413-500c-a7c87ea00391,,172.20.1.174,172.20.1.174
ecbgr012002,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device /usr/lib/vmware/isoimages/windows.iso,,"Tue Jul  8 20:00:12 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP/Discovered virtual machine,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),361,vm-3204,423e851b-18ce-525c-cd91-99a419cb4a01,,172.20.1.174,172.20.1.174
ecbrdsq04,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2016 or later (64-bit),207,vm-17652,422eae5b-da61-0887-4792-963b102d1437,,172.20.1.174,172.20.1.174
ecbrlx01,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,"Sun Jul  6 02:00:12 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Cluster_BI",DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,CentOS 4/5/6 (64-bit),Red Hat Enterprise Linux 7 (64-bit),310,vm-4140,6519eff0-2799-425e-b147-34e66e714e7e,,172.20.1.174,172.20.1.174
ecbrprarb01,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,"Sun Jul  6 02:00:09 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Cluster_BI",DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),59,vm-349,423e861e-575b-99cf-47cc-b530c0fd3d3f,,172.20.1.174,172.20.1.174
ecbrprbi01,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,"Wed Jul  9 00:00:14 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_02",DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),192,vm-7618,422e52a6-99e8-7f3b-5dbd-12a7608bc95c,,172.20.1.174,172.20.1.174
ecbrprebn01,poweredOff,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),69,vm-10551,422e49e1-bfe4-73f6-c468-0127f3ec49f4,,172.20.1.174,172.20.1.174
ecbrprgmi,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,"Sun Jul  6 02:00:08 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Cluster_BI",DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),125,vm-10579,422eca13-c1a2-ed38-7453-59041c617351,,172.20.1.174,172.20.1.174
ecbrprlx08,poweredOn,False,False,CD/DVD drive 1,False,False,ISO [DataStore_Aplicacion_2_UIO] Template_ISO/ubuntu-22.04.2.iso,,"Sun Jul  6 02:00:10 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Cluster_BI",DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,Ubuntu Linux (64-bit),,32,vm-7721,422ef8ce-e7dc-9a11-16f6-63e110900a8c,,172.20.1.174,172.20.1.174
ecbrprlxgmor,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,"Sun Jul  6 02:00:06 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Cluster_BI",DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),306,vm-10576,422ee028-3af3-d957-2ed1-bd3326114f14,,172.20.1.174,172.20.1.174
ecbrprlxgmtr,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,"Sun Jul  6 02:00:07 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Cluster_BI",DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,Ubuntu Linux (64-bit),CentOS 7 (64-bit),330,vm-10577,422ebf36-eb05-943e-3a0b-667c301c4832,,172.20.1.174,172.20.1.174
ecbrtsap1,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),177,vm-4436,422eb1b7-91f5-d93d-d7f9-e45bf7d34740,,172.20.1.174,172.20.1.174
ecbrtsap2,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),199,vm-3686,422e2271-bc90-cae2-b9cb-fb0235c6ba1c,,172.20.1.174,172.20.1.174
ecbrtsap3,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),133,vm-3683,422e98c8-78c8-a255-4cb4-d7b69ecf8ede,,172.20.1.174,172.20.1.174
ecbrtsap4,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),189,vm-3684,422ebb3b-5325-6cc9-86a1-008b66298752,,172.20.1.174,172.20.1.174
ecbrtsap5,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),140,vm-4223,422efd6a-32b6-2cf9-c4d6-4896c4f48be8,,172.20.1.174,172.20.1.174
ecbrtsap6,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),286,vm-4357,422e6f76-6427-c9c6-6084-955251b48b6a,,172.20.1.174,172.20.1.174
ecbrtsass02,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022 (64-bit),191,vm-14258,422ee060-656a-91ae-7de4-5125d83a6273,,172.20.1.174,172.20.1.174
ecbrtscc01,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),128,vm-3228,423e01eb-2e8e-9584-d5ed-08d3c60830b0,,172.20.1.174,172.20.1.174
ecbrtscl03,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),321,vm-7592,422edc26-2d22-62d2-85c1-56df1a63a687,,172.20.1.174,172.20.1.174
ecbrtscl04,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),254,vm-7593,422ec5e6-42a3-fb8c-70da-995f1c997bce,,172.20.1.174,172.20.1.174
ecbrtscl05,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),143,vm-7602,422e2ef3-9186-df9b-ff42-39bf8aa02f63,,172.20.1.174,172.20.1.174
ecbrtsf03,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),38,vm-7615,422e2f56-797b-2929-44db-745a12d4cbaf,,172.20.1.174,172.20.1.174
ECBRTSF04,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022 (64-bit),265,vm-17416,422e4a9b-ee49-0ec1-b5f9-126893309a0d,,172.20.1.174,172.20.1.174
ecbrtsf05,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022 (64-bit),45,vm-38570,422ed4e4-fc07-6354-9689-d85ac966db84,,172.20.1.174,172.20.1.174
ecbrtsh01,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),226,vm-3214,423e9c67-97b6-7e80-ec12-ce29a4737fae,,172.20.1.174,172.20.1.174
ecbrtsh03,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022 (64-bit),146,vm-38571,422e96b2-595d-8b47-b72a-cef6c72e2008,,172.20.1.174,172.20.1.174
ECBRTSH04,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022 (64-bit),8,vm-54808,422ec662-e6eb-0dec-76b9-69106c2026cf,,172.20.1.174,172.20.1.174
ecbrtskc01,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),221,vm-3138,423efba0-19f8-4cb1-85fe-c562b4d5c499,,172.20.1.174,172.20.1.174
ecbrtskf01,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),117,vm-3227,423ec42d-514c-5580-c61d-274e99fda6b9,,172.20.1.174,172.20.1.174
ecbrtskw01,poweredOn,False,False,CD/DVD drive 1,False,False,ISO [DiskLun_Servidores_Test_Nimble_1] en_windows_server_2016_x64_dvd_9718492.iso,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),36,vm-3174,423ebd39-48e7-e586-2139-bf832cd48c9f,,172.20.1.174,172.20.1.174
ecbrtslx03,poweredOn,False,False,CD/DVD drive 1,False,False,ISO [DiskLun_Servidores_Test_Nimble_1] ubuntu-22.04.2.iso,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),202,vm-10098,422eb230-50ec-8562-8bc4-ac120b6610bb,,172.20.1.174,172.20.1.174
ecbrtspocAD_client,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),122,vm-10083,422e9171-5f83-4616-9e84-2d0043d02054,,172.20.1.174,172.20.1.174
ecbrtspoccl01,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 (64-bit),282,vm-20134,422e5ff1-1510-28ed-3bef-b3721c1945fd,,172.20.1.174,172.20.1.174
ecbrtspoccl02,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 (64-bit),304,vm-19362,422e3eba-fdc5-2856-fd3f-d4b6ebbe71ba,,172.20.1.174,172.20.1.174
ecbrtsq10,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2008 R2 (64-bit),Microsoft Windows Server 2008 R2 (64-bit),252,vm-3213,423eb18f-2443-eeca-bdbd-2b3bfd6f5c66,,172.20.1.174,172.20.1.174
ecbrtsq15,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI /usr/lib/vmware/isoimages/windows.iso,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 (64-bit),206,vm-3143,423efb25-39e8-5cd0-05eb-3363a73d98c8,,172.20.1.174,172.20.1.174
ecbrtsq17,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,"Wed Nov 13 09:43:51 2024 -0500,ecbrprps1.bgr.com,Test_UIO_VM_ECBRTSQ17",DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),73,vm-3153,423e10bc-0a40-35b5-2bed-62cfabba60ba,,172.20.1.174,172.20.1.174
ecbrtsq18,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),155,vm-3219,423eda59-c3b6-8105-f56f-fe83fd658023,,172.20.1.174,172.20.1.174
ecbrtsq18clon,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),44,vm-46541,422ea4ec-a83c-d87f-1584-fb2bd681ba8f,,172.20.1.174,172.20.1.174
ecbrtsq19,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),154,vm-3183,423e0d68-83fd-0313-acd0-536987b057df,,172.20.1.174,172.20.1.174
ecbrtsq20,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),171,vm-3220,423ef11d-5dde-f0d0-8b6d-b54e5c76c8e8,,172.20.1.174,172.20.1.174
ecbrtsq21,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),238,vm-3154,423e2130-05b5-955d-3c7d-f9ef7fa8210c,,172.20.1.174,172.20.1.174
ecbrtsq22,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),150,vm-5141,422e4cc8-1d9f-81d8-491e-1ccb8bd6b849,,172.20.1.174,172.20.1.174
ecbrtsq23,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),242,vm-5626,422e30f8-1978-cfff-f902-91683391904b,,172.20.1.174,172.20.1.174
ECBRTSQ25,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022 (64-bit),109,vm-12985,422e12d3-3154-0ca0-2fe8-23a6e448f632,,172.20.1.174,172.20.1.174
ECBRTSQ27,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022 (64-bit),7,vm-54809,422e14d7-7f66-7062-4737-1e7316acf1e3,,172.20.1.174,172.20.1.174
ecbrtss01,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device /usr/lib/vmware/isoimages/windows.iso,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2003 (64-bit),Microsoft Windows Server 2003 (32-bit),180,vm-26323,423e9a8b-2f86-64a9-a42c-51b67bdedf98,,172.20.1.174,172.20.1.174
ecbrtss01clon,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device /usr/lib/vmware/isoimages/windows.iso,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2003 (64-bit),Microsoft Windows Server 2003 (32-bit),320,vm-26326,422e8506-9654-ba3c-eee9-30e84bf37d5e,,172.20.1.174,172.20.1.174
ecbrtssg01,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,"Servidor creado para la SIGOP,  no esta dentro de los inventarios de facturacion mensual",,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 (64-bit),123,vm-3142,423e0974-caa0-69fc-e6e2-c1df37695ede,,172.20.1.174,172.20.1.174
ecbrtsti01,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 (64-bit),227,vm-3218,423e5ba3-0363-5365-0918-1348c337da94,,172.20.1.174,172.20.1.174
ECBRTSVM01,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022 (64-bit),28,vm-50547,422e5758-fa54-69a2-6f1c-dd4acc2f7df2,,172.20.1.174,172.20.1.174
ecbrtsw01,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2003 (32-bit),Microsoft Windows Server 2003 Standard (32-bit),218,vm-3211,423e6072-e579-869c-ed2e-e187933880aa,,172.20.1.174,172.20.1.174
ecbrtsw02,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device,03/12/2024  RFC 2024-002890 clon del servidor ecbrtsw01 por pruebas,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2003 (32-bit),Microsoft Windows Server 2003 Standard (32-bit),24,vm-34960,422e23b2-9493-aa52-3ca6-c160c4d17e49,,172.20.1.174,172.20.1.174
ecbrtsw02_clon,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device,Este equipo se creó de un clon del ecbrtsw01 debido a que el equipo original daba errores de conexión. Este equipo debe quedar activo y eliminar del vmware el servidor ecbrtsw02,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2003 (32-bit),Microsoft Windows Server 2003 Standard (32-bit),178,vm-52774,422eca8a-9271-1743-c27d-0911d19038f6,,172.20.1.174,172.20.1.174
ecbrtsw03,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),239,vm-3133,564d750a-df01-42c8-2c3a-96667d161dd6,,172.20.1.174,172.20.1.174
ecbrtsw04,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2003 (32-bit),Microsoft Windows Server 2003 Standard (32-bit),95,vm-3162,423e6d1e-8280-b594-21f2-b2516670e363,,172.20.1.174,172.20.1.174
ecbrtsw06,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),130,vm-5994,422ee4f3-1504-00fb-249a-d48d5de4f19c,,172.20.1.174,172.20.1.174
ecbrtsw06_POC,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),40,vm-31647,422e3642-a919-5b9d-67af-c993d1ab6122,,172.20.1.174,172.20.1.174
ecbrtsw07,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2008 (64-bit),Microsoft Windows Server 2008 (64-bit),166,vm-3185,423ec65f-cd05-92f6-5818-b788ce7d8a72,,172.20.1.174,172.20.1.174
ecbrtsw08,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device /usr/lib/vmware/isoimages/windows.iso,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),216,vm-3175,423ea478-db36-b0f5-68f7-e90014c1a5aa,,172.20.1.174,172.20.1.174
ecbrtsw100,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),175,vm-5684,422eb2e7-fd22-0bf8-9731-019207ab765d,,172.20.1.174,172.20.1.174
