VM,Powerstate,Template,SRM Placeholder,Device Node,Connected,Starts Connected,Device Type,Annotation,NB_LAST_BACKUP,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VMRef,VM ID,VM UUID,VMs,VI SDK Server,VI SDK UUID
ecbrtsw101,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),113,vm-5685,422ead29-1192-6785-2d93-3cf10ac3e857,,172.20.1.174,172.20.1.174
ecbrtsw102,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),62,vm-7270,422edd8e-4081-00b0-0ad0-8cf0725b9ff4,,172.20.1.174,172.20.1.174
ecbrtsw105,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),230,vm-7613,422e14fa-cefe-938f-7598-3e037b80f403,,172.20.1.174,172.20.1.174
ECBRTSW105_POC,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),237,vm-31645,422e5424-6d2f-b807-69d4-7fc52587dd63,,172.20.1.174,172.20.1.174
ecbrtsw106,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),316,vm-10555,422e29ef-d3f0-c2e9-ffc9-efedf3a64e2f,,172.20.1.174,172.20.1.174
ecbrtsw107,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2019 (64-bit),87,vm-7623,422e88a1-53be-37e3-f30a-82ed91ccdf24,,172.20.1.174,172.20.1.174
ecbrtsw110,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),277,vm-7742,422e5388-52c9-a484-7789-6466a6251da7,,172.20.1.174,172.20.1.174
ecbrtsw111,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device,Servidor clonado del ecbrtsw25,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),94,vm-7746,422e8528-e1ab-fc2d-16a3-6646ed44c1f9,,172.20.1.174,172.20.1.174
ecbrtsw112,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device,Servidor Clonado del ecbrtsw26,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),289,vm-7744,422e83d4-e82e-c67f-c64a-6ef8363247b4,,172.20.1.174,172.20.1.174
ecbrtsw113,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),172,vm-7748,422e31ed-9728-47ec-e12d-0291c867d174,,172.20.1.174,172.20.1.174
ecbrtsw113clon,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),205,vm-46543,422efee7-26db-5e37-77d8-29d6f01cb43d,,172.20.1.174,172.20.1.174
ecbrtsw114,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),291,vm-10554,422ed099-04d8-d3aa-f138-7f3002ecfe1e,,172.20.1.174,172.20.1.174
ecbrtsw115,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),209,vm-10655,422e1dad-f188-3d96-6447-995ac271df66,,172.20.1.174,172.20.1.174
ecbrtsw116,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),108,vm-10665,422e2b6c-997b-2509-3a57-9ac71db6a6fd,,172.20.1.174,172.20.1.174
ecbrtsw117,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),68,vm-16901,422eb6d4-794a-e560-17f0-96e0c212e185,,172.20.1.174,172.20.1.174
ECBRTSW118,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022 (64-bit),219,vm-53214,422ea698-b646-0b13-fadd-edf92406cc86,,172.20.1.174,172.20.1.174
ECBRTSW119,poweredOn,False,False,CD/DVD drive 1,True,True,ISO [DiskLun_Servidores_Test_Nimble_1] ISOs/SW_DVD9_WIN_SERVER_STD_CORE_2022_2108.31_64BIT_ENGLISH_DC_STD_MLF_X23-71666.ISO,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022 (64-bit),9,vm-54807,422eb8c4-2755-5df9-ea17-2e069103d306,,172.20.1.174,172.20.1.174
ecbrtsw12,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2008 R2 (64-bit),Microsoft Windows Server 2008 R2 (64-bit),46,vm-3195,423e3ec6-5e77-4387-19bf-a0a967f52fc2,,172.20.1.174,172.20.1.174
ecbrtsw12poc,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2008 R2 (64-bit),Microsoft Windows Server 2008 R2 (64-bit),10,vm-50441,422e657b-257e-53b8-1b54-b2479e3547bb,,172.20.1.174,172.20.1.174
ecbrtsw14,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device /usr/lib/vmware/isoimages/windows.iso,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2008 R2 (64-bit),Microsoft Windows Server 2008 R2 (64-bit),247,vm-3229,423eab6e-71b6-9d35-97e8-a4f12a4e85d9,,172.20.1.174,172.20.1.174
ecbrtsw15,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),342,vm-7400,422e6d70-b1cd-2e7e-6b46-fcb1007504a2,,172.20.1.174,172.20.1.174
ecbrtsw16,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI /usr/lib/vmware/isoimages/windows.iso,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2008 R2 (64-bit),Microsoft Windows Server 2008 R2 (64-bit),250,vm-3147,423e8188-399c-c1b5-6381-456f18b4c990,,172.20.1.174,172.20.1.174
ecbrtsw17,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 (64-bit),319,vm-3157,423ee7ed-62b5-5ef9-0818-fbfb963aec87,,172.20.1.174,172.20.1.174
ecbrtsw18,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2003 (64-bit),Microsoft Windows Server 2003 Standard (32-bit),270,vm-3137,423e1754-62f9-8a10-5c4f-6a1d526becc0,,172.20.1.174,172.20.1.174
ecbrtsw19,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2003 (64-bit),Microsoft Windows Server 2003 Standard (32-bit),183,vm-3194,423e48df-748a-8f67-0c75-57ab3fb5401a,,172.20.1.174,172.20.1.174
ecbrtsw21,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),165,vm-5650,422e91f4-52f5-2878-ec4c-b755cf34abe0,,172.20.1.174,172.20.1.174
ecbrtsw22,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device CD/DVD drive 1,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 (64-bit),104,vm-3156,423e8c1d-9b4b-bdf5-302d-6286787782e7,,172.20.1.174,172.20.1.174
ecbrtsw25,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),256,vm-3176,423e79a9-5669-89af-4bf6-470a555f9d82,,172.20.1.174,172.20.1.174
ecbrtsw26,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),88,vm-3135,423e39e5-9871-f6f2-0e87-a1a637e14dc2,,172.20.1.174,172.20.1.174
ecbrtsw28,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),211,vm-3180,423e807c-cded-af75-eba6-38bc1fadbe28,,172.20.1.174,172.20.1.174
ecbrtsw29,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),213,vm-3146,423ec1ad-5043-00d9-013d-70e306a0d15a,,172.20.1.174,172.20.1.174
ecbrtsw30,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),129,vm-3230,423e0b3e-2b3f-bf95-15cc-982a71a4f55f,,172.20.1.174,172.20.1.174
ecbrtsw31,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),308,vm-3134,423e58aa-2270-f5c3-45f6-a3c71a207a84,,172.20.1.174,172.20.1.174
ecbrtsw32,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),91,vm-3209,423ee1bd-309b-68d6-535e-4a8d1056d72a,,172.20.1.174,172.20.1.174
ecbrtsw33,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),111,vm-3141,423e80f5-aa7e-4f0a-dbdd-81b9e9b2e319,,172.20.1.174,172.20.1.174
ecbrtsw34,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),214,vm-3216,423e3c57-77c2-283e-1184-284d06862d09,,172.20.1.174,172.20.1.174
ecbrtsw35,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),119,vm-3178,423e93de-b5c6-2606-99b6-a47edf8c037c,,172.20.1.174,172.20.1.174
ECBRTSW37,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022 (64-bit),311,vm-13772,422ec1de-0dd8-cb02-41fb-70be4f139184,,172.20.1.174,172.20.1.174
ecbrtsw90,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device /usr/lib/vmware/isoimages/windows.iso,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2008 (64-bit),Microsoft Windows Server 2008 (64-bit),263,vm-3208,423e47b0-02fd-3858-ca19-833ee86c25f0,,172.20.1.174,172.20.1.174
ecbrtsw91,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),118,vm-5890,422e8525-1fd6-8435-5ebf-c881cb6115ac,,172.20.1.174,172.20.1.174
ecbrtsw92,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),262,vm-5891,422e5342-5cfb-e2c0-f729-14a9acb1aca9,,172.20.1.174,172.20.1.174
ecbrtsw93,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),103,vm-4073,422e7c53-fedd-2353-d9e7-4241b8f11e16,,172.20.1.174,172.20.1.174
ecbrtsw94,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),334,vm-4225,422ead8a-c253-622e-b32e-2c961d3e6933,,172.20.1.174,172.20.1.174
ecbrtsw95,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),54,vm-4361,422e5fd6-4e1b-a6e0-c014-7e97f2bcbf2f,,172.20.1.174,172.20.1.174
ecbrtsw96,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),322,vm-4362,422e27a6-d800-4521-e1a6-a2e3e2833c4a,,172.20.1.174,172.20.1.174
ecbrtsw97,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),138,vm-5139,422e87eb-2b7d-79a0-b690-fba82db96c94,,172.20.1.174,172.20.1.174
ecbrtsw98,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),188,vm-5625,422e3872-8382-bf8e-fdb4-2b3ddfdbc031,,172.20.1.174,172.20.1.174
ecbrtswe02,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),131,vm-3189,423ea6ea-d016-08f6-e184-8aba0adcad72,,172.20.1.174,172.20.1.174
ecbrtswe03,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2016 or later (64-bit),79,vm-31648,422ebb39-0b0d-c169-1152-a7b415a5cfec,,172.20.1.174,172.20.1.174
ecbrtswe04,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),57,vm-5140,422e0003-377b-e5b5-ddf4-78290d9d9d03,,172.20.1.174,172.20.1.174
ecbrtswe05,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),248,vm-7268,422ec17b-298d-db8a-190f-040879c1c55b,,172.20.1.174,172.20.1.174
test186com1,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device /usr/lib/vmware/isoimages/windows.iso,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),49,vm-3226,423e7412-4775-f0c0-0e86-c533a01096c7,,172.20.1.174,172.20.1.174
test186cw1,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device /usr/lib/vmware/isoimages/windows.iso,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),258,vm-3163,423e4427-35c2-0dc9-dc9f-606dba1f4051,,172.20.1.174,172.20.1.174
test186h01,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),176,vm-3177,423eb8d6-220a-6a2c-fbff-01270709ddf9,,172.20.1.174,172.20.1.174
test186h01clon,poweredOn,False,False,CD/DVD drive 1,False,False,Remote ATAPI,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),168,vm-25946,422e0f8b-454d-93e2-58e0-6c48f8681db0,,172.20.1.174,172.20.1.174
test186h02,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device /usr/lib/vmware/isoimages/windows.iso,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),215,vm-3152,423e0c27-195f-803d-e5b9-bb06fc1ca61a,,172.20.1.174,172.20.1.174
test186h02clon,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device /usr/lib/vmware/isoimages/windows.iso,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),141,vm-25948,422eb737-2072-395c-e9dd-c5865019d4b4,,172.20.1.174,172.20.1.174
test186q01,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device /usr/lib/vmware/isoimages/windows.iso,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),126,vm-3151,423ee98d-1c81-525b-b545-4ccaed4b89b9,,172.20.1.174,172.20.1.174
test186q02,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device /usr/lib/vmware/isoimages/windows.iso,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),204,vm-3187,423ef080-5a36-67a3-b6c1-c442897ab936,,172.20.1.174,172.20.1.174
test186q03,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device /usr/lib/vmware/isoimages/windows.iso,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),280,vm-3207,423eca62-5e99-4526-c869-1961edf31ebf,,172.20.1.174,172.20.1.174
test186q04,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device /usr/lib/vmware/isoimages/windows.iso,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2008 (64-bit),Microsoft Windows Server 2008 (64-bit),197,vm-3182,423ec7f1-a467-dacf-7f24-a88bccb732da,,172.20.1.174,172.20.1.174
test186w01,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device /usr/lib/vmware/isoimages/windows.iso,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),169,vm-3206,423ef2f9-24cf-5044-a8b0-f9e61f482ed7,,172.20.1.174,172.20.1.174
test186w05,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device /usr/lib/vmware/isoimages/windows.iso,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),181,vm-3150,423e14aa-c091-94ba-c614-701358dc91e2,,172.20.1.174,172.20.1.174
test186w06,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device /usr/lib/vmware/isoimages/windows.iso,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),92,vm-3205,423e8270-ffc9-ce83-4b96-f6ef52d9e38c,,172.20.1.174,172.20.1.174
test186w07,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device /usr/lib/vmware/isoimages/windows.iso,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),160,vm-3136,423edb89-497d-3d4e-6291-c74821b4eb70,,172.20.1.174,172.20.1.174
test186w09,poweredOn,False,False,CD/DVD drive 1,False,False,Remote device,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2008 R2 (64-bit),Microsoft Windows Server 2008 R2 (64-bit),217,vm-3149,423e371d-8a03-58f5-91f9-e572941c132c,,172.20.1.174,172.20.1.174
